PPID,Beep,Reported,Estimated,PropPos
73007,3,5,0.838175618,1
73007,4,7,0.797480097,1
73007,7,6,0.550188716,1
73007,36,7,0.607413753,1
73007,38,1,0.123790363,0
73007,39,5,0.91440677,1
73007,40,4,0.284183019,0
73007,41,5,0.123790363,0
73007,42,7,0.872110301,1
73007,43,5,0.852683859,1
73007,46,5,0.607413753,1
73007,47,4,0.317334813,0
73007,48,5,0.317334813,0
73007,49,5,0.607413753,1
73007,50,5,0.317334813,0
73007,51,5,0.966903189,1
73007,52,6,0.966903189,1
73007,61,4,0.123790363,0
73007,62,3,0.123790363,0
73007,63,2,0.25387319,0
73007,64,5,0.348125104,0.5
73007,66,4,0.439931206,0
73007,67,5,0.258561841,0
73007,68,3,0.276900427,0
73007,69,5,0.25387319,0
73007,70,5,0.797480097,1
73007,8,6,0.888365416,1
73007,10,5,0.607413753,1
73007,13,4,0.892760575,1
73007,14,4,0.310416143,0.5
73007,72,4,0.699943204,1
73007,73,5,0.317334813,0
73007,74,5,0.234628028,0
73007,75,5,0.377327835,0
73007,76,6,0.607413753,1
73007,77,5,0.317334813,0
73007,78,3,0.25387319,0
73007,79,3,0.290390277,0
73007,80,5,0.85710408,1
73007,81,5,0.299295703,0.333333333333333
73007,82,6,0.550188716,1
73007,83,7,0.777515517,1
73007,84,5,0.699943204,1
73007,85,6,0.797480097,1
73007,87,7,0.221839923,0.5
73007,88,4,0.25387319,0
73007,89,4,0.25387319,0
73007,90,4,0.699943204,1
73007,91,5,0.317334813,0
73007,92,5,0.198421838,0
73007,94,4,0.304928357,0
73007,95,5,0.138972641,0
73007,96,3,0.154471599,0
73007,97,3,0.123790363,0
73007,98,4,0.509222723,0
73007,99,4,0.1311502,0
73007,100,3,0.377327835,0
73007,101,1,0.377327835,0
73007,102,2,0.317334813,0
73007,103,5,0.25387319,0
73007,104,5,0.25387319,0
73007,105,1,0.113011023,0
73007,15,5,0.317334813,0
73007,16,5,0.688888513,0.5
73007,17,6,0.94777636,1
73007,19,6,0.317334813,0
73007,20,2,0.080895351,0
73007,21,4,0.906318545,0.5
73007,106,2,0.296478816,0
73007,107,5,0.550188716,1
73007,108,7,0.966903189,1
73007,110,4,0.844717825,1
73007,111,6,0.607413753,1
73007,112,7,0.94290894,1
73007,113,1,0.414768438,0
73007,114,6,0.966903189,1
73007,115,7,0.966903189,1
73007,117,6,0.966903189,1
73007,118,7,0.233387259,0
73007,119,1,0.225841443,0
73007,121,6,0.966903189,1
73007,122,6,0.966903189,1
73007,124,6,0.966903189,1
73007,125,6,0.966903189,1
73007,22,3,0.306642109,0
73007,23,5,0.257148711,0
73007,25,6,0.744658185,1
83932,1,7,0.698298402,0.5
83932,2,7,0.961377512,1
83932,3,7,0.627500883,0
83932,4,7,0.783928045,0.333333333333333
83932,5,7,0.861837044,0.5
83932,6,3,0.296102074,0.333333333333333
83932,7,3,0.892760575,1
83932,8,4,0.25387319,0
83932,9,5,0.518701538,0.666666666666666
83932,10,6,0.645498201,0.5
83932,11,6,0.929329004,1
83932,12,5,0.727830503,1
83932,13,6,0.926435165,1
83932,14,6,0.845868161,0.5
83932,15,6,0.645498201,0.5
83932,16,6,0.921335664,0.666666666666666
83932,17,6,0.966903189,1
83932,18,7,0.934806635,1
83932,19,6,0.966903189,1
83932,20,7,0.923810248,1
83932,21,7,0.908205981,1
83932,22,5,0.931106622,1
83932,23,7,0.44162888,0.5
83932,24,6,0.886100808,1
83932,25,7,0.934435239,1
83932,26,6,0.743057553,0.333333333333333
83932,27,7,0.885771438,1
83932,28,5,0.931106622,1
83932,29,5,0.806607096,0.5
83932,30,5,0.966903189,1
83932,31,6,0.857450341,0.5
83932,32,6,0.163363972,0
83932,33,5,0.56378061,1
83932,34,6,0.516666405,1
83932,35,5,0.636116065,1
83932,1,7,0.698298402,0.5
83932,2,2,0.098644263,0
83932,3,6,0.89303709,1
83932,4,6,0.947213488,1
83932,5,7,0.930920908,1
83932,6,6,0.743057553,0.333333333333333
83932,7,7,0.300497515,0
83932,36,6,0.516666405,1
83932,37,6,0.516666405,1
83932,38,6,0.74602459,0.5
83932,39,6,0.885771438,1
83932,40,6,0.645498201,0.5
83932,41,6,0.95684567,1
83932,42,6,0.636116065,1
83932,43,6,0.915077042,0.666666666666666
83932,44,6,0.603715524,0.5
83932,45,6,0.828053839,0.666666666666666
83932,46,5,0.645498201,0.5
83932,47,3,0.178556119,0
83932,48,5,0.838175618,1
83932,49,5,0.516666405,1
83932,50,6,0.25387319,0
83932,51,6,0.636116065,1
83932,52,6,0.895026601,1
83932,53,6,0.838175618,1
83932,54,4,0.706863539,1
83932,55,6,0.830867868,1
83932,56,6,0.966903189,1
83932,57,6,0.56378061,1
83932,58,6,0.931359433,1
83932,59,7,0.96218498,1
83932,60,6,0.885771438,1
83932,61,6,0.886100808,1
83932,62,6,0.886100808,1
83932,63,7,0.919400169,1
83932,64,7,0.903770986,1
83932,65,7,0.944285888,1
83932,66,7,0.886100808,1
83932,67,7,0.636116065,1
83932,68,7,0.900600672,1
83932,69,7,0.932995376,1
83932,70,7,0.966113907,1
