PPID,Day,Reported,Estimated,PropPos
7,9,25,0.966903189,1
7,9,18,0.484881989,0.5
7,9,20,0.226350719,0
7,9,21,0.966903189,1
7,9,24,0.966903189,1
7,10,25,0.877713201,1
7,10,30,0.966903189,1
7,10,32,0.966903189,1
7,10,28,0.844717825,1
7,10,33,0.607413753,1
7,10,27,0.966903189,1
7,11,26,0.607413753,1
7,11,16,0.966903189,1
7,11,33,0.966903189,1
7,11,28,0.838175618,1
7,11,34,0.838175618,1
7,11,34,0.838175618,1
7,12,22,0.64852644,0.5
7,12,2,0.25387319,0
7,14,24,0.56982195,0.666666667
7,14,25,0.966903189,1
7,14,24,0.922218274,1
7,14,15,0.607413753,1
7,14,18,0.966903189,1
7,14,14,0.966903189,1
7,15,15,0.939720009,1
7,15,25,0.838175618,1
7,15,25,0.838175618,1
7,15,21,0.966903189,1
7,15,26,0.966903189,1
9,1,20,0.838175618,1
9,1,28,0.966903189,1
9,1,13,0.966903189,1
9,1,-9,0.101145039,0
9,1,3,0.205524164,0
9,1,-15,0.147480408,0
9,1,17,0.966903189,1
9,1,14,0.966903189,1
9,1,19,0.713953041,1
9,1,22,0.607413753,1
9,1,-4,0.173081188,0
9,1,-3,0.138972641,0
9,1,-24,0.173081188,0
9,1,-21,0.173081188,0
9,1,0,0.966903189,1
9,1,21,0.966903189,1
9,2,25,0.173081188,0
9,2,8,0.138972641,0
9,2,26,0.47432828,0.5
9,2,22,0.966903189,1
9,2,20,0.966903189,1
9,2,14,0.838175618,1
9,2,-37,0.106995795,0
9,3,6,0.266740797,0
9,3,13,0.266740797,0
9,3,0,0.123329647,0
9,3,12,0.838175618,1
9,4,13,0.838175618,1
9,4,14,0.838175618,1
9,4,25,0.966903189,1
9,4,38,0.966903189,1
9,4,19,0.966903189,1
9,4,8,0.266740797,0
9,4,-2,0.41394186,0
9,5,15,0.23437063,0
9,5,18,0.966903189,1
9,5,17,0.966903189,1
9,5,18,0.966903189,1
9,5,1,0.173081188,0
9,5,-16,0.087967918,0
9,6,6,0.23437063,0
9,6,16,0.23437063,0
9,6,31,0.966903189,1
9,6,14,0.966903189,1
9,6,20,0.966903189,1
9,6,11,0.838175618,1
9,6,30,0.966903189,1
9,6,14,0.966903189,1
9,6,19,0.838175618,1
9,6,20,0.966903189,1
9,6,15,0.844717825,1
9,7,-18,0.138972641,0
